,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi
77,9,14,1,1,E8,4,8,ZZ.09.014,11.0,J2,128,0.04090615434361709,78.93391333428426,3.230685025765092,-147.51615852947225,671.866512425644,687.8703566416352,-0.21613220786274298
101,9,15,1,1,F8,5,8,ZZ.09.015,11.0,J2,129,0.04363323129985824,78.92480950496676,3.445931601861544,-145.73425024605206,672.256439188696,687.8714936130468,-0.2134804421266367
259,9,16,3,1,B6,1,6,ZZ.09.016,10.0,J2,143,0.046360308256099374,78.9151187162516,3.6611525507572438,-143.95105734328178,672.6379650230923,687.8689838193429,-0.21082943343339966
283,9,17,3,1,C6,2,6,ZZ.09.017,10.0,J2,140,0.04908738521234052,78.90484104020862,3.8763462718660233,-142.16766607771336,673.0216378429401,687.8733679121309,-0.20817749679912273
307,9,18,3,1,D6,3,6,ZZ.09.018,10.0,J2,141,0.051814462168581654,78.89397655327231,4.091511164804203,-140.38220645315818,673.394867138944,687.8719437349755,-0.20552576744999657
331,9,19,3,1,E6,4,6,ZZ.09.019,10.0,J2,138,0.05454153912482279,78.88252533624129,4.306645629402499,-138.596340210078,673.7643042751208,687.8715601294804,-0.20287457752998475
355,9,20,3,1,F6,5,6,ZZ.09.020,10.0,J2,139,0.057268616081063935,78.87048747427758,4.521748065717921,-136.80887238796493,674.1264129745099,687.8685108608664,-0.20022324040353914
377,9,21,3,1,F2,5,2,ZZ.09.021,10.0,J2,159,0.05999569303730507,78.8578630569061,4.73681687404567,-135.02168305291175,674.4888320337367,687.8706560340216,-0.19757220682295817
260,9,22,3,1,B7,1,7,ZZ.09.022,10.0,J2,136,0.06272276999354622,78.84465217801394,4.951850454931039,-133.2327172821078,674.8445756668148,687.8707424082648,-0.1949205544523652
284,9,23,3,1,C7,2,7,ZZ.09.023,10.0,J2,137,0.06544984694978735,78.83085493584967,5.166847209181302,-131.44161349055253,675.1938741052357,687.8689303829885,-0.19226766092771866
308,9,24,3,1,D7,3,7,ZZ.09.024,10.0,J2,134,0.06817692390602849,78.81647143302261,5.381805537877613,-129.6524193469451,675.5419821955962,687.8711503990202,-0.18961782467248162
332,9,25,3,1,E7,4,7,ZZ.09.025,10.0,J2,135,0.07090400086226963,78.80150177650206,5.596723842386894,-127.86071422098931,675.8834769593833,687.8712355287192,-0.18696622446955533
356,9,26,3,1,F7,5,7,ZZ.09.026,10.0,J2,132,0.07363107781851076,78.78594607761653,5.811600524373725,-126.06800746369412,676.2193954651812,687.8704916691521,-0.18431469780712034
261,9,27,3,1,B8,1,8,ZZ.09.027,10.0,J2,133,0.07635815477475191,78.76980445205287,6.026433985812232,-124.27455104025525,676.5519244801252,687.8711147838802,-0.18166300238172434
285,9,28,3,1,C8,2,8,ZZ.09.028,10.0,J2,130,0.07908523173099305,78.75307701985544,6.241222628997965,-122.48048478760403,676.879787396175,687.8718745081075,-0.1790116658551422
309,9,29,3,1,D8,3,8,ZZ.09.029,10.0,J2,131,0.08181230868723419,78.73576390542524,6.455964856559788,-120.68551228808629,677.2022398140934,687.8719840824037,-0.1763604367869176
333,9,30,3,1,E8,4,8,ZZ.09.030,10.0,J2,128,0.08453938564347534,78.71786523751894,6.67065907147176,-118.8893579197794,677.5195021542414,687.8716124582469,-0.1737088389793556
357,9,31,3,1,F8,5,8,ZZ.09.031,10.0,J2,129,0.08726646259971647,78.6993811492479,6.885303677064995,-117.0923913654619,677.8322990322866,687.8715386807902,-0.1710571985052708
515,9,32,5,1,B6,1,6,ZZ.09.032,9.0,J2,143,0.08999353955595761,78.68031177807727,7.099897077039563,-115.29498144573733,678.1394803164463,687.8706909808216,-0.16840630900633474
539,9,33,5,1,C6,2,6,ZZ.09.033,9.0,J2,140,0.09272061651219875,78.66065726582491,7.314437675476335,-113.49633291649499,678.443928840904,687.8717774168188,-0.16575431113924372
563,9,34,5,1,D6,3,6,ZZ.09.034,9.0,J2,141,0.09544769346843988,78.6404177586603,7.528923876848874,-111.69713461876154,678.7418222886823,687.8711443328633,-0.1631030990798725
587,9,35,5,1,E6,4,6,ZZ.09.035,9.0,J2,138,0.09817477042468103,78.61959340710355,7.743354086035287,-109.89667274198071,679.0326464650271,687.8681658901337,-0.16045172933089338
611,9,36,5,1,F6,5,6,ZZ.09.036,9.0,J2,139,0.10090184738092217,78.5981843660242,7.957726708330089,-108.09627837319138,679.3251795520661,687.8717213053471,-0.1578000617752933
633,9,37,5,1,F2,5,2,ZZ.09.037,9.0,J2,159,0.10362892433716331,78.57619079464007,8.172040149456068,-106.29510456527177,679.6109177242563,687.873279568663,-0.15514884720942868
516,9,38,5,1,B7,1,7,ZZ.09.038,9.0,J2,136,0.10635600129340445,78.55361285651612,8.386292815576141,-104.49234158843122,679.889395354841,687.8722551219846,-0.1524969832263028
540,9,39,5,1,C7,2,7,ZZ.09.039,9.0,J2,137,0.10908307824964558,78.53045071956325,8.6004831133052,-102.68892882591815,680.1614843693346,687.869654020957,-0.1498455824339319
564,9,40,5,1,D7,3,7,ZZ.09.040,9.0,J2,134,0.11181015520588672,78.50670455603695,8.814609449721974,-100.88508256385259,680.4322633647249,687.8705291779535,-0.14719383615208304
