,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi
1002,2,61,8,1,F14,5,14,ZZ.02.061,4.0,J1,36,0.253618156930426,69.69678733985204,18.06537667759632,-4.969534882806294,437.0151968395827,437.04345155337893,-0.011371047800483123
931,2,62,8,1,C15,2,15,ZZ.02.062,4.0,J1,34,0.2577087723647877,69.62230591522935,18.350327491525046,-3.2388555551184917,437.03055113951694,437.04255263602977,-0.007410914985266673
979,2,63,8,1,E15,4,15,ZZ.02.063,4.0,J1,32,0.2617993877991494,69.54665949281292,18.634971247381493,-1.5085495470140027,437.04093092258586,437.0435344715859,-0.0034517214501627183
1160,2,64,10,1,B12,1,12,ZZ.02.064,3.0,J1,50,0.26589000323351114,69.46984933840274,18.91930318219001,0.22175673358675735,437.04226352497204,437.0423197850295,0.000507403363617849
1159,2,65,10,1,B11,1,11,ZZ.02.065,3.0,J1,57,0.2699806186678728,69.39187673727167,19.203318538192683,1.952021562672873,437.03855147020266,437.04291077576596,0.004466444838131684
1183,2,66,10,1,C11,2,11,ZZ.02.066,3.0,J1,54,0.27407123410223455,69.31274299414393,19.48701256292895,3.682113144619486,437.0280830754163,437.0435943401788,0.008425147408568446
1207,2,67,10,1,D11,3,11,ZZ.02.067,3.0,J1,55,0.27816184953659623,69.23244943317326,19.770380509315125,5.412502923789421,437.0091957917364,437.0427123227662,0.012384696360110966
1231,2,68,10,1,E11,4,11,ZZ.02.068,3.0,J1,52,0.28225246497095796,69.15099739792073,20.05341763572382,7.1424266463361805,436.98371236154475,437.0420793558391,0.016343379637517728
1255,2,69,10,1,F11,5,11,ZZ.02.069,3.0,J1,53,0.28634308040531964,69.06838825133234,20.336119206063294,8.872733403677788,436.9537846791788,437.04385974809315,0.02030309502131672
1208,2,70,10,1,D12,3,12,ZZ.02.070,3.0,J1,48,0.29043369583968137,68.98462337571611,20.618480489856715,10.602678594521006,436.91442971163053,437.0430593015041,0.02426241231225518
1232,2,71,10,1,E12,4,12,ZZ.02.071,3.0,J1,49,0.2945243112740431,68.89970417271904,20.90049676232129,12.33280050116397,436.86916047389695,437.04320306048584,0.028222468081057345
1185,2,72,10,1,C13,2,13,ZZ.02.072,3.0,J1,44,0.2986149267084048,68.81363206330359,21.182163304447336,14.061853177023027,436.81791606549234,437.0441940016726,0.03218045382152948
1233,2,73,10,1,E13,4,13,ZZ.02.073,3.0,J1,42,0.3027055421427665,68.72640848772397,21.463475403077265,15.791403457594349,436.757618792488,437.04300245678894,0.03614024584252229
1275,2,74,10,1,F9,5,9,ZZ.02.074,3.0,J1,63,0.3067961575771282,68.63803490550195,21.744428350984418,17.519846273387355,436.69084017559027,437.0421431700907,0.04009805992801216
1162,2,75,10,1,B14,1,14,ZZ.02.075,3.0,J1,40,0.3108867730114899,68.54851279540254,22.02501744695185,19.24912999319018,436.61815110420116,437.0422621202048,0.044058345401269176
1210,2,76,10,1,D14,3,14,ZZ.02.076,3.0,J1,38,0.31497738844585166,68.45784365540916,22.30523799585098,20.97740034572854,436.53940494246837,437.04313676431224,0.04801691583646754
1258,2,77,10,1,F14,5,14,ZZ.02.077,3.0,J1,36,0.31906800388021334,68.36602900269864,22.585085308720185,22.70593198899551,436.45370781588605,437.0439319035601,0.05197683171968318
1187,2,78,10,1,C15,2,15,ZZ.02.078,3.0,J1,34,0.32315861931457507,68.27307037361575,22.86455470284323,24.43360906330642,436.35978886967996,437.04332347520216,0.05593577056971511
1235,2,79,10,1,E15,4,15,ZZ.02.079,3.0,J1,32,0.32724923474893675,68.1789693236476,23.14364150182763,26.161439645815662,436.25882303112877,437.04253980230277,0.059895974174228914
1439,2,80,12,1,C11,2,11,ZZ.02.080,2.0,J1,54,0.3313398501832985,68.08372742739753,23.42234103568293,27.888044340948912,436.1524943669657,437.04318020041086,0.06385411365978004
1463,2,81,12,1,D11,3,11,ZZ.02.081,2.0,J1,55,0.33543046561766016,67.98734627855879,23.700648640898798,29.614797371182892,436.0376263494031,437.0421579387484,0.06781384212722896
1487,2,82,12,1,E11,4,11,ZZ.02.082,2.0,J1,52,0.3395210810520219,67.88982748988786,23.97855966052311,31.34057485906802,435.9178567769102,437.04302933403665,0.0717721049056991
1511,2,83,12,1,F11,5,11,ZZ.02.083,2.0,J1,53,0.3436116964863836,67.7911726931775,24.256069444239845,33.06610271043848,435.78955864665863,437.0422251612615,0.07573119673469791
1414,2,84,12,1,B10,1,10,ZZ.02.084,2.0,J1,60,0.3477023119207453,67.69138353922939,24.53317334844689,34.79112114989526,435.65455668394196,437.04154821978733,0.07969030027009769
1415,2,85,12,1,B11,1,11,ZZ.02.085,2.0,J1,57,0.35179292735510703,67.59046169782656,24.80986673633379,36.51582670627308,435.5147855619202,437.0429430194336,0.08364955235366962
1440,2,86,12,1,C12,2,12,ZZ.02.086,2.0,J1,51,0.3558835427894687,67.4884088577054,25.086144977959286,38.23994713225899,435.3666683312203,437.04282336002814,0.087609054303344
1488,2,87,12,1,E12,4,12,ZZ.02.087,2.0,J1,49,0.35997415822383044,67.38522672652745,25.36200345032881,39.96390360346072,435.2103799329578,437.04140352215614,0.09156983239498495
1441,2,88,12,1,C13,2,13,ZZ.02.088,2.0,J1,44,0.3640647736581921,67.2809170308508,25.63743753747184,41.685873488434005,435.04966223301807,437.04224127372044,0.09552701599147405
1465,2,89,12,1,D13,3,13,ZZ.02.089,2.0,J1,45,0.36815538909255385,67.1754815161012,25.912442630519145,43.407910823288894,434.88113781829344,437.0421612981706,0.09948605013829276
1531,2,90,12,1,F9,5,9,ZZ.02.090,2.0,J1,63,0.3722460045269156,67.06892194654284,26.187014127779893,45.12950380964559,434.7058933634382,437.04220143941444,0.10344560015312718
1418,2,91,12,1,B14,1,14,ZZ.02.091,2.0,J1,40,0.37633661996127726,66.96124010524888,26.461147434818653,46.85100237348222,434.52373800149616,437.0422122749619,0.10740656768283259
1466,2,92,12,1,D14,3,14,ZZ.02.092,2.0,J1,38,0.380427235395639,66.85243779407152,26.734837964532304,48.570692099139706,434.33762800795364,437.0449487576363,0.11136436535474892
1514,2,93,12,1,F14,5,14,ZZ.02.093,2.0,J1,36,0.3845178508300007,66.74251683361197,27.008081137226732,50.28956584293756,434.1393502062903,437.04235015637914,0.11532340041797962
1467,2,94,12,1,D15,3,15,ZZ.02.094,2.0,J1,35,0.3886084662643624,66.63147906318989,27.28087238069353,52.00802675630411,433.9362898901125,437.04180409965386,0.11928278482272175
1491,2,95,12,1,E15,4,15,ZZ.02.095,2.0,J1,32,0.39269908169872414,66.51932634081264,27.553207130286463,53.72533511924635,433.72805493856424,437.0428323110511,0.12324095540675731
1767,2,96,14,1,F11,5,11,ZZ.02.096,1.0,J1,53,0.3967896971330858,66.40606054314424,27.82508082899784,55.44237130826401,433.5120809967215,437.04299663350224,0.12720067394720286
1670,2,97,14,1,B10,1,10,ZZ.02.097,1.0,J1,60,0.40088031256744755,66.29168356547383,28.096488927534818,57.15851352473826,433.2892211476682,437.0430697667114,0.1311603600916302
1694,2,98,14,1,C10,2,10,ZZ.02.098,1.0,J1,61,0.4049709280018092,66.17619732168416,28.36742688439546,58.87336141835821,433.0581893626565,437.0417234758703,0.1351195671000184
1742,2,99,14,1,E10,4,10,ZZ.02.099,1.0,J1,59,0.40906154343617096,66.05960374421937,28.637890165944793,60.58727284218469,432.82373224149734,437.0437058486402,0.13907770091310545
1719,2,100,14,1,D11,3,11,ZZ.02.100,1.0,J1,55,0.41315215887053264,65.9419047840528,28.907874246490614,62.3009336517099,432.58141912821895,437.04472369410735,0.1430377315830571
1743,2,101,14,1,E11,4,11,ZZ.02.101,1.0,J1,52,0.41724277430489437,65.82310241065422,29.177374608359266,64.01272246330042,432.3283209972669,437.0416522180459,0.1469970590230117
1696,2,102,14,1,C12,2,12,ZZ.02.102,1.0,J1,51,0.4213333897392561,65.70319861195696,29.446386741971192,65.72375958539054,432.07155188040554,437.04168968003523,0.1509559428237039
